country,gdp.2005,gdp.2006,gdp.2007,gdp.2008,pop.2005,pop.2006,pop.2007,pop.2008,unemp.2005,unemp.2006,unemp.2007,unemp.2008
BI,1.628344288,1.716499708,1.775752462,1.86208445,7.364862,7.607849,7.862214,8.126102,1.947999954,1.799999952,1.639999986,1.633999944
BJ,5.778376437,6.006449749,6.366026796,6.677319053,7.982225,8.216897,8.454793,8.696921,0.805000007,0.782999992,0.731999993,0.787999988
BM,5.620941625,5.932559093,6.101393206,6.194616021,0.064154,0.064523,0.064888,0.065273,MISSING,MISSING,MISSING,MISSING
BN,13.26440843,13.84773993,13.86914602,13.60012417,0.365114,0.370263,0.374965,0.379421,5.868999958,5.743000031,5.624000072,5.697000027
BO,15.69660778,16.4495755,17.20039708,18.25796302,9.232306,9.395446,9.558439,9.721454,3.256000042,2.987999916,2.72300005,2.602999926
BR,1774.799883,1845.117254,1957.113484,2056.81267,186.127103,188.167356,190.130443,192.030362,9.56799984,8.638999939,8.326999664,7.342999935
BS,10.21430727,10.47138598,10.62285925,10.37598751,0.324859,0.331033,0.337389,0.343681,10.19999981,7.539999962,7.880000114,8.180000305
BT,1.007823159,1.076852656,1.269887377,1.330440106,0.648739,0.65741,0.664876,0.671613,3.099999905,3.130000114,3.700000048,3.46600008
BW,10.23096175,11.0866662,12.00428337,12.75400337,1.799078,1.835908,1.875459,1.915639,19.83200073,17.79999924,16.62899971,15.93000031
BY,41.25685756,45.38254117,49.28544268,54.31255755,9.663915,9.604924,9.560953,9.527985,8.534999847,7.605000019,6.781000137,6.122000217
BZ,1.212283653,1.267825646,1.28184255,1.323231396,0.2838,0.291329,0.299025,0.306823,10.90999985,9.390000343,8.510000229,8.180000305
CA,1433.984188,1493.721354,1596.319231,1612.404105,32.243753,32.571174,32.889025,33.247118,6.757999897,6.320000172,6.035999775,6.137000084
CD,16.46658372,17.34276728,18.42833394,19.57566252,54.785903,56.578037,58.453683,60.411195,2.848999977,2.904000044,2.983999968,3.170000076
CF,1.684388941,1.764752577,1.846064167,1.883984742,4.038382,4.118069,4.19801,4.273366,7.329999924,6.959000111,6.605999947,6.388999939
CG,9.307922524,9.888364294,9.731908345,10.27419298,3.622775,3.745141,3.876119,4.011486,19.79599953,18.23600006,16.44199944,16.11100006
CH,524.1039804,545.0090354,567.4185412,579.6449588,7.437115,7.483934,7.551117,7.647675,4.436999798,4,3.65199995,3.349999905
CI,22.30076704,22.63881151,23.03839486,23.62422472,18.354514,18.754916,19.171237,19.605569,5.671999931,5.693999767,5.56099987,5.607999802
CL,181.652337,193.1276355,202.6011727,209.752043,16.182721,16.354504,16.530195,16.708258,9.340000153,9.024000168,8.427000046,9.284999847
CM,22.02257464,22.78404233,23.90096205,24.73481904,17.73341,18.223674,18.730282,19.252666,4.400000095,3.670000076,3.062999964,3.108999968
CN,3561.979301,4015.044511,4586.441075,5029.229368,1303.72,1311.02,1317.885,1324.655,4.5,4.400000095,4.300000191,4.599999905
CO,229.9646502,245.5548859,262.3720924,270.9176786,42.647723,43.200897,43.737516,44.254975,11.86999989,11.50699997,11.20400047,11.27299976
CR,29.53963607,31.67763598,34.26503239,35.85821874,4.285502,4.345412,4.404628,4.463125,6.571000099,5.739999771,4.489999771,4.781000137
CU,49.48147738,55.45184471,59.47883362,61.92747492,11.261582,11.261248,11.251122,11.236971,1.950000048,1.912999988,1.787999988,1.582999945
CV,1.2525639,1.352565476,1.557758964,1.661358044,0.463032,0.46917,0.47506,0.480842,11.23400021,10.96500015,10.10599995,9.961000443
CW,MISSING,MISSING,MISSING,MISSING,0.137658,0.141239,0.144056,0.14588,MISSING,MISSING,MISSING,MISSING
CY,22.56861726,23.63246321,24.83726236,25.74303062,1.027662,1.045507,1.063713,1.081563,5.303999901,4.543000221,3.921999931,3.654999971
CZ,183.91816,196.5230322,207.5335175,213.1001532,10.211216,10.238905,10.298828,10.384603,7.927000046,7.147999763,5.320000172,4.392000198
DE,3202.731537,3324.902547,3424.120208,3457.069368,82.469422,82.376451,82.266372,82.110097,11.16699982,10.25,8.657999992,7.524000168
DJ,MISSING,MISSING,MISSING,MISSING,0.783254,0.794563,0.805451,0.816358,12.69699955,11.7840004,11.02900028,10.77900028
DK,318.6228255,331.0905619,334.1009663,332.3903134,5.419432,5.437272,5.461438,5.493621,4.829999924,3.897000074,3.801000118,3.434000015
DM,0.416264764,0.435657538,0.46333817,0.496331285,0.070589,0.070718,0.070795,0.070827,MISSING,MISSING,MISSING,MISSING
DO,40.68942351,44.42241583,47.71676074,49.24823221,9.097257,9.218686,9.338861,9.458075,6.586999893,5.65500021,5.157999992,4.763999939
DZ,142.2275643,144.6454329,149.5633776,153.1528987,33.149724,33.641002,34.166972,34.730608,15.27000046,12.27000046,13.78999996,11.32999992
EC,58.87628567,61.46891847,62.81512711,66.80836678,13.825847,14.059384,14.296557,14.535739,3.779000044,3.549999952,3.14199996,3.917000055
EE,19.99545578,21.93876599,23.60031618,22.39930973,1.354775,1.34681,1.34068,1.33709,8.032999992,5.914999962,4.592000008,5.454999924
EG,162.2110177,173.3124773,185.5965666,198.8783832,75.523569,76.873663,78.232126,79.636079,11.19999981,10.48999977,8.800000191,8.517000198
ER,2.200767545,2.179437333,2.210534026,1.994276818,2.826659,2.918205,2.996536,3.062779,6.71600008,6.629000187,6.360000134,6.106999874
ES,1354.513606,1410.085603,1460.914789,1473.875224,43.653155,44.397319,45.226803,45.954106,9.145999908,8.451999664,8.232000351,11.25399971
ET,17.86077592,19.79594225,22.06379845,24.44415613,76.346311,78.489206,80.674348,82.916235,2.496999979,2.295000076,2.178999901,2.130000114
FI,237.9553688,247.5389042,260.656004,262.6995909,5.246096,5.266268,5.28872,5.313399,8.383999825,7.718999863,6.854000092,6.368999958
FJ,3.031738285,3.087900748,3.061633387,3.09325376,0.821604,0.82787,0.83619,0.845361,3.885999918,3.834000111,3.75999999,3.624000072
FM,0.300081112,0.299837957,0.294332407,0.287243335,0.106129,0.105371,0.104444,0.103543,MISSING,MISSING,MISSING,MISSING
FO,MISSING,MISSING,MISSING,MISSING,0.047722,0.047792,0.047825,0.04782,MISSING,MISSING,MISSING,MISSING
FR,2536.821077,2598.956034,2661.973863,2668.760457,63.179351,63.621381,64.016225,64.374984,8.493000031,8.447999954,7.657000065,7.063000202
